33 0.3391997  0.61315693 0.88834888 5.2818445 7.2899041 18.527565 20.870283 28.966435 29.520532 36.33593 38.889222 47.981545 52.53305 60.147432 64.393142 68.881408
34 0.34414657  0.61292158 0.95234121 5.075188 7.3484555 18.588664 21.269535 28.816293 29.462055 36.052052 38.9824 47.654082 52.827883 60.005134 64.78402 68.817433
35 0.34909344  0.60603453 1.0214434 4.8734992 7.4113954 18.654456 21.684377 28.657277 29.400552 35.761059 39.082237 47.319435 53.126662 59.870817 65.179518 68.760603
36 0.35404032  0.59046408 1.0956477 4.6802611 7.4786529 18.724881 22.112693 28.489992 29.336309 35.464993 39.18849 46.979319 53.426967 59.745592 65.575784 68.71262
37 0.35898719  0.56395334 1.1749452 4.4990034 7.5501511 18.799867 22.552319 28.315053 29.269608 35.165902 39.300896 46.635249 53.726629 59.630229 65.968973 68.675062
38 0.36393406  0.52412174 1.259325 4.3332194 7.6258063 18.87933 23.000957 28.133075 29.200729 34.865902 39.419172 46.28857 54.02377 59.52521 66.355292 68.64934
39 0.36888093  0.46864059 1.3487749 4.1862094 7.7055285 18.963173 23.456063 27.944672 29.129945 34.567275 39.543017 45.940482 54.31684 59.43078 66.731087 68.63664
40 0.3738278  0.39547688 1.4432812 4.0608538 7.789221 19.051286 23.914711 27.750455 29.057527 34.272576 39.672116 45.592072 54.604665 59.346997 67.092973 68.637854
41 0.37877467  0.30316621 1.5428286 3.9593557 7.8767799 19.143541 24.373419 27.551021 28.983742 33.984781 39.80614 45.244327 54.88649 59.273768 67.437992 68.653514
42 0.3873429  0.24264375 1.6015439 3.9340568 7.8902505 19.238877 24.606253 27.422557 28.909692 33.871107 39.820133 45.136087 54.898522 59.369797 67.481421 68.629631
43 0.39591113  0.17104286 1.6649988 3.9495992 7.8435706 19.428089 24.846146 27.234055 28.766665 33.813802 39.729469 45.158285 54.683465 59.699682 67.241225 68.602787
44 0.40447936  0.097276557 1.7213993 4.0075405 7.7431573 19.704755 25.090938 26.976597 28.571178 33.807633 39.553956 45.295452 54.320003 60.184565 66.80698 68.630047
45 0.41304759  0.027074804 1.7647748 4.1057432 7.5985651 20.059726 25.336967 26.644511 28.345739 33.841466 39.32489 45.518672 53.885104 60.745558 66.309366 68.684198
